23:46:45 Full House [A♣, A♦, 9♥, 9♣, 9♦] scoring=[9♥, 9♣, 9♦, A♣, A♦](5) | base: 65/6 | pre-joker: 105/26.0 | jokers: [Gros Michel(x1.58)] | final: 105/41.0 | enhs=[GOLD] seals=[] eds=[] | blind=The Pillar ante=4 hands_left=3 | est=4305 actual=2205 MISMATCH(diff=-2100)
23:46:47 Pair [K♠, K♥, 6♥, 5♥, 4♠] scoring=[K♠, K♥](2) | base: 40/4 | pre-joker: 60/24.0 | jokers: [Gros Michel(x1.62)] | final: 60/39.0 | enhs=[] seals=[] eds=[] | blind=The Pillar ante=4 hands_left=2 | est=2340 actual=1140 MISMATCH(diff=-1200)
00:06:04 Straight [8♥, 7♥, 6♥, 5♠, 4♣] scoring=[8♥, 7♥, 6♥, 5♠](4) | base: 300/31 | pre-joker: 326/31.0 | jokers: [Four Fingers(x1.32), Devious Joker(+100c), The Order(x3.00)] | final: 426/123.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=7 hands_left=4 | est=52398 actual=52890 MISMATCH(diff=+492)
00:19:12 Three of a Kind [7♠, 7♥, 7♣, 4♦, 3♦] scoring=[7♠, 7♥, 7♣](3) | base: 30/3 | pre-joker: 51/13.0 | jokers: [Turtle Bean(+50c)] | final: 101/13.0 | enhs=[] seals=[] eds=[] | blind=The Hook ante=1 hands_left=5 | est=1313 actual=1919 MISMATCH(diff=+606)
01:01:21 Straight [6♣, 5♣, 4♦, 3♦, 2♣] scoring=[6♣, 5♣, 4♦, 3♦](4) | base: 30/4 | pre-joker: 48/4.0 | jokers: [Green Joker(x6.25), Crazy Joker(x1.48)] | final: 48/37.0 | enhs=[] seals=[] eds=[] | blind=Small Blind ante=4 hands_left=4 | est=1776 actual=1850 MISMATCH(diff=+74)
03:10:57 High Card [K♣, J♣, 9♣, 8♥, 2♣] scoring=[K♣](1) | base: 5/1 | pre-joker: 35/1.0 | jokers: [Green Joker(x12.00)] | final: 35/12.0 | enhs=[] seals=[] eds=[] | blind=The House ante=3 hands_left=5 | est=420 actual=1290 MISMATCH(diff=+870)
09:15:48 Three of a Kind [2♠, 2♠, 2♣] scoring=[2♠, 2♠, 2♣](3) | base: 250/25 | pre-joker: 256/25.0 | jokers: [Half Joker(x2.20), Constellation(x3.30), Blackboard(+50c)] | final: 306/181.5 | enhs=[] seals=[] eds=[] | blind=Small Blind ante=9 hands_left=4 | est=55539 actual=222156 MISMATCH(diff=+166617)
10:15:34 Pair [Q♦, 9♣, 7♠, 6♠, 6♥] scoring=[6♠, 6♥](2) | base: 40/4 | pre-joker: 64/56.0 | jokers: [Blackboard(x3.00)] | final: 64/168.0 | enhs=[] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=4 | est=10752 actual=3588 MISMATCH(diff=-7164)
10:48:03 Straight [A♦, 8♠, 6♦, 4♥, 2♠] scoring=[A♦, 8♠, 6♦, 4♥, 2♠](5) | base: 270/28 | pre-joker: 301/94.5 | jokers: [Runner(+405c)] | final: 706/94.5 | enhs=[] seals=[] eds=[] | blind=Cerulean Bell ante=8 hands_left=2 | est=66717 actual=44478 MISMATCH(diff=-22239)
11:37:01 High Card [J♠, 9♣, 3♠] scoring=[J♠](1) | base: 15/2 | pre-joker: 25/3.0 | jokers: [Riff-raff(+50c), Green Joker(x24.00)] | final: 75/72.0 | enhs=[] seals=[] eds=[] | blind=Cerulean Bell ante=8 hands_left=3 | est=5400 actual=5325 MISMATCH(diff=-75)
11:45:35 Pair [9♣, 7♣, 7♣, 4♥, 2♣] scoring=[7♣, 7♣](2) | base: 70/6 | pre-joker: 84/6.0 | jokers: [Sly Joker(+50c), Abstract Joker(x3.50)] | final: 134/21.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=4 hands_left=2 | est=2814 actual=2090 MISMATCH(diff=-724)
11:46:07 Pair [8♥, 8♦, 7♦, 6♦, 3♦] scoring=[8♥, 8♦](2) | base: 100/8 | pre-joker: 116/8.0 | jokers: [Sly Joker(+50c), Abstract Joker(x2.88), Gros Michel(x1.65)] | final: 166/38.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=5 hands_left=3 | est=6308 actual=4464 MISMATCH(diff=-1844)
12:03:17 Straight [A♥, 5♠, 4♦, 3♠, 2♦] scoring=[5♠, 4♦, 3♠, 2♦](4) | base: 30/4 | pre-joker: 44/4.0 | jokers: [Crazy Joker(x4.00)] | final: 44/16.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=3 hands_left=5 | est=704 actual=1045 MISMATCH(diff=+341)
13:06:14 Straight [6♣, 5♠, 4♠, 3♥, 2♣] scoring=[6♣, 5♠, 4♠, 3♥](4) | base: 30/4 | pre-joker: 48/4.0 | jokers: [Bull(+4c), Gros Michel(x4.75)] | final: 52/19.0 | enhs=[] seals=[] eds=[] | blind=Small Blind ante=2 hands_left=5 | est=988 actual=1026 MISMATCH(diff=+38)
14:36:59 Two Pair [4♥, 3♠, 3♠, 2♥, 2♦] scoring=[3♠, 3♠, 2♥, 2♦](4) | base: 40/3 | pre-joker: 50/3.0 | jokers: [Green Joker(x15.67), Blackboard(x4.50)] | final: 50/211.5 | enhs=[] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=5 | est=10575 actual=10912 MISMATCH(diff=+337)
14:50:27 Straight [7♥, 6♠, 5♠, 4♦, 3♣] scoring=[7♥, 6♠, 5♠, 4♦](4) | base: 30/4 | pre-joker: 52/4.0 | jokers: [Mystic Summit(x4.75), Ramen(x1.82), Campfire(x1.50)] | final: 52/51.9 | enhs=[] seals=[] eds=[] | blind=The Wheel ante=5 hands_left=2 | est=2697 actual=2852 MISMATCH(diff=+155)
17:11:31 Straight [Q♦, J♥, 10♦, 9♠, 8♥] scoring=[Q♦, J♥, 10♦, 9♠, 8♥](5) | base: 60/7 | pre-joker: 107/7.0 | jokers: [Devious Joker(+100c), Mystic Summit(x3.14), Loyalty Card(x4.00), Ceremonial Dagger(x1.11)] | final: 207/98.0 | enhs=[] seals=[] eds=[] | blind=The Mouth ante=5 hands_left=2 | est=20286 actual=6624 MISMATCH(diff=-13662)
22:55:11 Pair [K♣, K♦, 8♣, 7♠, 5♥] scoring=[K♣, K♦](2) | base: 10/2 | pre-joker: 30/32.0 | jokers: [none] | final: 30/32.0 | enhs=[] seals=[] eds=[] | blind=The Head ante=1 hands_left=4 | est=960 actual=360 MISMATCH(diff=-600)
00:54:56 Straight [6♣, 5♦, 4♣, 3♥, 2♣] scoring=[6♣, 5♦, 4♣, 3♥](4) | base: 30/4 | pre-joker: 48/4.0 | jokers: [Ride the Bus(x1.25), Crazy Joker(x3.40), Spare Trousers(x1.24)] | final: 48/21.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=3 hands_left=3 | est=1008 actual=1050 MISMATCH(diff=+42)
00:57:13 Straight [K♦, J♠, 9♣, 8♠, 6♥] scoring=[K♦, J♠, 9♣, 8♠](4) | base: 180/19 | pre-joker: 217/19.0 | jokers: [The Order(x3.00), Blackboard(x3.00)] | final: 217/171.0 | enhs=[] seals=[] eds=[] | blind=The Tooth ante=7 hands_left=5 | est=37107 actual=114399 MISMATCH(diff=+77292)
02:12:36 Three of a Kind [8♠, 8♣, 8♦] scoring=[8♠, 8♣, 8♦](3) | base: 90/9 | pre-joker: 114/9.0 | jokers: [Runner(+125c), Bull(+52c, x3.17), Half Joker(x1.70), Loyalty Card(x6.00)] | final: 291/291.0 | enhs=[] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=5 | est=84681 actual=45396 MISMATCH(diff=-39285)
02:12:40 High Card [Q♥] scoring=[Q♥](1) | base: 75/8 | pre-joker: 85/13.0 | jokers: [Runner(+125c), Bull(+52c, x2.65), Half Joker(x1.58)] | final: 262/54.5 | enhs=[] seals=[] eds=[] | blind=Crimson Heart ante=8 hands_left=3 | est=14279 actual=21418 MISMATCH(diff=+7139)
07:04:53 Straight [6♥, 5♣, 4♥, 3♦, 2♥] scoring=[6♥, 5♣, 4♥, 3♦](4) | base: 60/7 | pre-joker: 78/7.0 | jokers: [Crazy Joker(x2.71), Green Joker(x1.16)] | final: 78/22.0 | enhs=[] seals=[] eds=[] | blind=Big Blind ante=3 hands_left=4 | est=1716 actual=1760 MISMATCH(diff=+44)
08:38:35 Two Pair [Q♣, Q♦, 7♠, 7♦, 2♣] scoring=[Q♣, Q♦, 7♠, 7♦](4) | base: 20/2 | pre-joker: 40/22.0 | jokers: [Ice Cream(+100c)] | final: 140/22.0 | enhs=[] seals=[] eds=[] | blind=The Pillar ante=1 hands_left=4 | est=3080 actual=280 MISMATCH(diff=-2800)
09:10:31 High Card [K♠, J♣] scoring=[K♠](1) | base: 5/1 | pre-joker: 15/1.0 | jokers: [Green Joker(x54.00)] | final: 15/54.0 | enhs=[] seals=[] eds=[] | blind=Cerulean Bell ante=8 hands_left=2 | est=810 actual=864 MISMATCH(diff=+54)
12:45:53 Pair [Q♠, Q♣, 9♣, 6♦, 2♥] scoring=[Q♠, Q♣](2) | base: 10/2 | pre-joker: 30/22.0 | jokers: [none] | final: 30/22.0 | enhs=[] seals=[] eds=[] | blind=The Window ante=1 hands_left=4 | est=660 actual=60 MISMATCH(diff=-600)
12:45:54 Two Pair [K♣, K♦, 9♠, 9♥, 8♦] scoring=[K♣, K♦, 9♠, 9♥](4) | base: 20/2 | pre-joker: 48/22.0 | jokers: [none] | final: 48/22.0 | enhs=[] seals=[] eds=[] | blind=The Window ante=1 hands_left=3 | est=1056 actual=96 MISMATCH(diff=-960)
12:45:55 Full House [10♥, 10♣, 10♦, 3♥, 3♣] scoring=[10♥, 10♣, 10♦, 3♥, 3♣](5) | base: 40/4 | pre-joker: 66/24.0 | jokers: [none] | final: 66/24.0 | enhs=[] seals=[] eds=[] | blind=The Window ante=1 hands_left=2 | est=1584 actual=264 MISMATCH(diff=-1320)
